Round_number,Team_1,Team_2,Date,Location,Group,Result
1,England,New Zealand,5/10/2023,"Narendra Modi Stadium, Ahmedabad",Group A,
1,Pakistan ,Netherlands,6/10/2023,"Rajiv Gandhi International Stadium, Hyderabad",Group A,
1,Bangladesh,Afghanistan,7/10/2023,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Group A,
1,South Africa,Sri Lanka,7/10/2023,"Arun Jaitley Stadium, Delhi",Group A,
1,India,Australia,8/10/2023,"MA Chidambaram Stadium, Chennai",Group A,
1,New Zealand,Netherlands,9/10/2023,"Rajiv Gandhi International Stadium, Hyderabad",Group A,
1,England,Bangladesh,10/10/2023,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Group A,
1,India,Afghanistan,11/10/2023,"Arun Jaitley Stadium, Delhi",Group A,
1,Pakistan ,Sri Lanka,12/10/2023,"Rajiv Gandhi International Stadium, Hyderabad",Group A,
1,Australia,South Africa,13/10/2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Group A,
1,New Zealand,Bangladesh,14/10/2023,"MA Chidambaram Stadium, Chennai",Group A,
1,England,Afghanistan,14/10/2023,"Arun Jaitley Stadium, Delhi",Group A,
1,India,Pakistan,15/10/2023,"Narendra Modi Stadium, Ahmedabad",Group A,
1,Australia,Sri Lanka,16/10/2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Group A,
1,South Africa,Netherlands,17/10/2023,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Group A,
1,New Zealand,Afghanistan,18/10/2023,"MA Chidambaram Stadium, Chennai",Group A,
1,India,Bangladesh,19/10/2023,"Maharashtra Cricket Association Stadium, Pune",Group A,
1,Australia,Pakistan,20/10/2023,"M.Chinnaswamy Stadium, Bengaluru",Group A,
1,Netherlands,Sri Lanka,21/10/2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Group A,
1,England,South Africa,21/10/2023,"Wankhede Stadium, Mumbai",Group A,
1,India,New Zealand,22/10/2023,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Group A,
1,Pakistan ,Afghanistan,23/10/2023,"MA Chidambaram Stadium, Chennai",Group A,
1,South Africa,Bangladesh,24/10/2023,"Wankhede Stadium, Mumbai",Group A,
1,Australia,Netherlands,25/10/2023,"Arun Jaitley Stadium, Delhi",Group A,
1,England,Sri Lanka,26/10/2023,"M.Chinnaswamy Stadium, Bengaluru",Group A,
1,Pakistan ,South Africa,27/10/2023,"MA Chidambaram Stadium, Chennai",Group A,
1,Australia,New Zealand,28/10/2023,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Group A,
1,Netherlands,Bangladesh,28/10/2023,"Eden Gardens, Kolkata",Group A,
1,India,England,29/10/2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Group A,
1,Afghanistan,Sri Lanka,30/10/2023,"Maharashtra Cricket Association Stadium, Pune",Group A,
1,Pakistan ,Bangladesh,31/10/2023,"Eden Gardens, Kolkata",Group A,
1,New Zealand,South Africa,1/11/2023,"Maharashtra Cricket Association Stadium, Pune",Group A,
1,India,Sri Lanka,2/11/2023,"Wankhede Stadium, Mumbai",Group A,
1,Netherlands,Afghanistan,3/11/2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Group A,
1,New Zealand,Pakistan,4/11/2023,"M.Chinnaswamy Stadium, Bengaluru",Group A,
1,England,Australia,4/11/2023,"Narendra Modi Stadium, Ahmedabad",Group A,
1,India,South Africa,5/11/2023,"Eden Gardens, Kolkata",Group A,
1,Bangladesh,Sri Lanka,6/11/2023,"Arun Jaitley Stadium, Delhi",Group A,
1,Australia,Afghanistan,7/11/2023,"Wankhede Stadium, Mumbai",Group A,
1,England,Netherlands,8/11/2023,"Maharashtra Cricket Association Stadium, Pune",Group A,
1,New Zealand,Sri Lanka,9/11/2023,"M.Chinnaswamy Stadium, Bengaluru",Group A,
1,South Africa,Afghanistan,10/11/2023,"Narendra Modi Stadium, Ahmedabad",Group A,
1,India,Netherlands,11/11/2023,"M.Chinnaswamy Stadium, Bengaluru",Group A,
1,Australia,Bangladesh,12/11/2023,"Maharashtra Cricket Association Stadium, Pune",Group A,
1,England,Pakistan,12/11/2023,"Eden Gardens, Kolkata",Group A,
Semi final-1,TBC,TBC,15/11/2023,"Wankhede Stadium, Mumbai",,
Semi final-2,TBC,TBC,16/11/2023,"Eden Gardens, Kolkata",,
Final,TBC,TBC,19/11/2023,"Narendra Modi Stadium, Ahmedabad",,